         3899838 function calls (3855501 primitive calls) in 31.884 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method scipy._lib._uarray._uarray.set_global_backend}
        1    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.new_type_manager}
      176    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.set_compatible}
       63    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.get_pointer}
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 {built-in method numba.core.runtime._nrt_python.memsys_use_cpython_allocator}
        1    0.000    0.000    0.000    0.000 {built-in method numba.core.runtime._nrt_python.memsys_set_atomic_inc_dec}
        1    0.000    0.000    0.000    0.000 {built-in method numba.core.runtime._nrt_python.memsys_set_atomic_cas}
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._c_internal_utils.display_is_valid}
        1    0.000    0.000    0.000    0.000 {built-in method numba._dispatcher.typeof_init}
        1    0.000    0.000    0.000    0.000 {built-in method pyexpat.ParserCreate}
        1    0.001    0.001    0.001    0.001 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _elementtree._set_factories}
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib.backends._macosx.event_loop_is_running}
     3624    0.005    0.000    0.005    0.000 {built-in method bottleneck.reduce.nanmean}
     1208    0.003    0.000    0.003    0.000 {built-in method bottleneck.reduce.nanmin}
      135    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
      135    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      241    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        3    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
      156    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 codecs.py:1071(<dictcomp>)
        1    0.000    0.000    0.000    0.000 codecs.py:1063(make_identity_dict)
        1    0.000    0.000    0.000    0.000 abc.py:36(__init__)
     1217    0.001    0.000    0.030    0.000 abc.py:84(__new__)
       22    0.000    0.000    0.001    0.000 abc.py:89(register)
     1794    0.000    0.000    0.002    0.000 abc.py:96(__instancecheck__)
 1541/923    0.000    0.000    0.002    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1649(HermiteE)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1605(Laguerre)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       96    0.003    0.000    4.951    0.052 __init__.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.015    0.015 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 hmac.py:26(HMAC)
        1    0.000    0.000    0.010    0.010 hmac.py:1(<module>)
        8    0.000    0.000    0.002    0.000 hashlib.py:79(__get_builtin_constructor)
       14    0.000    0.000    0.003    0.000 hashlib.py:123(__get_openssl_constructor)
